timestamp,modo,replica,duracion_seg,tiempo_real_seg,tiempo_cpu_seg,cpu_promedio,mem_promedio
2026-06-09 12:36:17,sin_ml,1,30,31.0338,0.0186,93.83,21.73
2026-06-09 12:36:57,sin_ml,2,30,30.0321,0.0228,99.85,21.84
2026-06-09 12:37:39,sin_ml,3,30,31.0314,0.0232,93.77,22.08
2026-06-09 12:38:20,sin_ml,4,30,31.0231,0.0235,96.84,21.56
2026-06-09 12:39:02,sin_ml,5,30,31.0381,0.0246,93.92,21.63
2026-06-09 12:39:43,sin_ml,6,30,31.0277,0.0219,96.78,21.85
2026-06-09 12:40:24,sin_ml,7,30,31.0319,0.0277,96.7,22.26
2026-06-09 12:41:05,sin_ml,8,30,31.0452,0.0257,96.74,21.9
2026-06-09 12:41:46,sin_ml,9,30,31.0338,0.021,96.8,22.46
2026-06-09 12:42:27,sin_ml,10,30,31.0406,0.0265,96.68,22.99
2026-06-09 12:58:37,con_ml,1,30,31.0417,0.065,93.84,24.32
2026-06-09 12:59:18,con_ml,2,30,31.0271,0.0259,96.69,24.24
2026-06-09 12:59:59,con_ml,3,30,31.0309,0.0236,96.68,24.38
2026-06-09 13:00:40,con_ml,4,30,31.0284,0.0228,96.76,24.17
2026-06-09 13:01:21,con_ml,5,30,31.0249,0.0235,96.82,23.92
2026-06-09 13:02:02,con_ml,6,30,31.0273,0.0203,96.78,24.11
2026-06-09 13:02:44,con_ml,7,30,31.0405,0.0215,93.78,23.83
2026-06-09 13:03:25,con_ml,8,30,31.0311,0.026,96.68,24.0
2026-06-09 13:04:07,con_ml,9,30,31.0381,0.0246,93.69,24.26
2026-06-09 13:04:48,con_ml,10,30,31.0399,0.0247,96.66,23.74
